Orc_species,lat,lon,cer1,cer10,cer18,cer2,cer20,cer21,cer22,cer23,cer25,cer27,cer29,cer30,cer31,cer32,cer34,cer35,cer36,cer38,cer39,cer4,cer40,cer41,cer42,cer45,cer46,cer47,ino11,ino7,ino8,rus1,rus18,rus2,rus26,rus6,seb12,seb32,ser1,the32,the33,the35,the36,the7,tul18,tul23,tul24,tul25,tul27,tul43,tul5,K,MaxPrec,MinTemp,N,P,pH,population
Spiranthes_spiralis,52.21013,-6.6253,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,192.937912,317,3.599999905,3.203607559,46.50895691,6.194093227,af
Spiranthes_spiralis,54.32158,-8.57318,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.6224213,407,2.700000048,4.677042484,42.2366333,5.679019451,ag
Spiranthes_spiralis,39.09555,26.36539,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,299.647522,326,3.299999952,2.094595432,9.22160244,7.017368793,x
Spiranthes_spiralis,43.94703,3.528905,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.0834961,307,-0.300000012,1.887552977,8.488224983,6.942250252,y
Spiranthes_spiralis,40.82338,14.39321,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,270.5081787,345,2.900000095,1.338747144,8.772807121,6.310156822,ai
Spiranthes_spiralis,41.30991,14.02031,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,468.7493896,325,1.899999976,2.184051275,11.27734089,6.179683208,ah
Spiranthes_spiralis,52.20016,-6.63079,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.2066345,316,3.599999905,2.818132162,46.01594543,6.204087257,ac
Spiranthes_spiralis,40.8225,14.38295,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,305.9248657,373,3.700000048,3.179772615,4.074923038,7.020105362,aj
Spiranthes_spiralis,40.47195,23.18327,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.8752441,153,0.800000012,1.23696363,12.87696457,7.568005085,ak
Spiranthes_spiralis,37.78321,14.57238,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,503.5614319,242,2.5,1.929401398,16.2418766,7.235748768,aa
Spiranthes_spiralis,43.93131,3.510012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.7996216,283,0.100000001,3.883803844,15.76813793,7.464762688,cn
Spiranthes_spiralis,40.6353,22.97012,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,256.0081482,146,0.400000006,1.311117291,16.76747513,7.295849323,bz
Spiranthes_spiralis,40.82347,14.39286,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,270.5081787,345,2.900000095,1.338747144,8.772807121,6.310156822,bq
Spiranthes_spiralis,39.10837,26.37353,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,433.659729,318,3.900000095,1.436510324,7.236559391,6.907519817,bv
Spiranthes_spiralis,41.30194,14.00648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.6647644,310,1.399999976,1.910905361,11.66710091,6.246799469,bt
Spiranthes_spiralis,40.5927,23.09452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.0494232,151,-1.200000048,1.783235431,41.91202927,6.72871542,cd
Spiranthes_spiralis,40.8217,14.39482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,446.3375854,345,2.900000095,2.589225054,3.855269432,6.462831497,by
Spiranthes_spiralis,39.10386,26.39202,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.6956177,319,3.900000095,2.389539719,8.963963509,6.683222771,br
Spiranthes_spiralis,40.82687,14.40054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,400.2532959,322,2.299999952,1.70782423,0.949458301,6.242478848,cg
