Orc_genre,Orc_species,Fun_order,Fun_family,Fun_genus,Fun_species,GBAN,lat,lon,geneRegion,DOI,Title,Author,Origin,pubmed,number,Notes
Orchis,Orchis tridentata,Cantharellales,ceratobasidiaceae,,,JN683859,43.507604,10.357247,"ITS1F,ITS4",DOI: 10.2478/s11535-012-0071-y,Analysis of fungal diversity in Orchis tridentata Scopoli,"Pecoraro,L., Girlanda,M., Kull,T., Perini,C. and Perotto,S.",environmentalSample,NA,NA,
Orchis,Orchis tridentata,Cantharellales,tulasnellaceae,Epulorhiza,,JN683847,42.929914,11.875801,"ITS1F,ITS4",DOI: 10.2478/s11535-012-0071-y,Analysis of fungal diversity in Orchis tridentata Scopoli,"Pecoraro,L., Girlanda,M., Kull,T., Perini,C. and Perotto,S.",environmentalSample,NA,NA,
Orchis,Orchis tridentata,Cantharellales,tulasnellaceae,Epulorhiza,,JN683848,42.929914,11.875801,"ITS1F,ITS4",DOI: 10.2478/s11535-012-0071-y,Analysis of fungal diversity in Orchis tridentata Scopoli,"Pecoraro,L., Girlanda,M., Kull,T., Perini,C. and Perotto,S.",environmentalSample,NA,NA,
Orchis,Orchis anthropophora,Cantharellales,tulasnellaceae,,,GQ907249,50.794671,5.665723,ITS1-11,doi:10.1016/j.mimet.2009.11.004,From extensive clone libraries to comprehensive DNA arrays for the efficient and simultaneous detection and identification of orchid mycorrhizal fungi,"Bart Lievens, Stefan van Kerckhove, Annelies Just�, Bruno P.A. Cammue, Olivier Honnay, Hans Jacquemyn",,NA,NA,
Orchis,Orchis anthropophora,Cantharellales,tulasnellaceae,,,GQ907250,50.794671,5.665723,ITS1-11,doi:10.1016/j.mimet.2009.11.004,From extensive clone libraries to comprehensive DNA arrays for the efficient and simultaneous detection and identification of orchid mycorrhizal fungi,"Bart Lievens, Stefan van Kerckhove, Annelies Just�, Bruno P.A. Cammue, Olivier Honnay, Hans Jacquemyn",,NA,NA,
Orchis,Orchis anthropophora,Cantharellales,tulasnellaceae,,,GQ907251,50.794671,5.665723,ITS1-11,doi:10.1016/j.mimet.2009.11.004,From extensive clone libraries to comprehensive DNA arrays for the efficient and simultaneous detection and identification of orchid mycorrhizal fungi,"Bart Lievens, Stefan van Kerckhove, Annelies Just�, Bruno P.A. Cammue, Olivier Honnay, Hans Jacquemyn",,NA,NA,
Orchis,Orchis anthropophora,Cantharellales,tulasnellaceae,,,GQ907252,50.794671,5.665723,ITS1-11,doi:10.1016/j.mimet.2009.11.004,From extensive clone libraries to comprehensive DNA arrays for the efficient and simultaneous detection and identification of orchid mycorrhizal fungi,"Bart Lievens, Stefan van Kerckhove, Annelies Just�, Bruno P.A. Cammue, Olivier Honnay, Hans Jacquemyn",,NA,NA,
Orchis,Orchis anthropophora,Cantharellales,tulasnellaceae,,,GQ907253,50.794671,5.665723,ITS1-11,doi:10.1016/j.mimet.2009.11.004,From extensive clone libraries to comprehensive DNA arrays for the efficient and simultaneous detection and identification of orchid mycorrhizal fungi,"Bart Lievens, Stefan van Kerckhove, Annelies Just�, Bruno P.A. Cammue, Olivier Honnay, Hans Jacquemyn",,NA,NA,
Orchis,Orchis anthropophora,Cantharellales,tulasnellaceae,,,GQ907254,50.794671,5.665723,ITS1-11,doi:10.1016/j.mimet.2009.11.004,From extensive clone libraries to comprehensive DNA arrays for the efficient and simultaneous detection and identification of orchid mycorrhizal fungi,"Bart Lievens, Stefan van Kerckhove, Annelies Just�, Bruno P.A. Cammue, Olivier Honnay, Hans Jacquemyn",,NA,NA,
Orchis,Orchis anthropophora,Cantharellales,tulasnellaceae,,,GQ907255,50.794671,5.665723,ITS1-11,doi:10.1016/j.mimet.2009.11.004,From extensive clone libraries to comprehensive DNA arrays for the efficient and simultaneous detection and identification of orchid mycorrhizal fungi,"Bart Lievens, Stefan van Kerckhove, Annelies Just�, Bruno P.A. Cammue, Olivier Honnay, Hans Jacquemyn",,NA,NA,
Orchis,Orchis anthropophora,Cantharellales,tulasnellaceae,,,GQ907256,50.794671,5.665723,ITS1-11,doi:10.1016/j.mimet.2009.11.004,From extensive clone libraries to comprehensive DNA arrays for the efficient and simultaneous detection and identification of orchid mycorrhizal fungi,"Bart Lievens, Stefan van Kerckhove, Annelies Just�, Bruno P.A. Cammue, Olivier Honnay, Hans Jacquemyn",,NA,NA,
Orchis,Orchis anthropophora,Cantharellales,tulasnellaceae,,,GQ907257,50.767724,5.635945,ITS1-11,doi:10.1016/j.mimet.2009.11.004,From extensive clone libraries to comprehensive DNA arrays for the efficient and simultaneous detection and identification of orchid mycorrhizal fungi,"Bart Lievens, Stefan van Kerckhove, Annelies Just�, Bruno P.A. Cammue, Olivier Honnay, Hans Jacquemyn",,NA,NA,
Orchis,Orchis anthropophora,Cantharellales,tulasnellaceae,,,GQ907258,50.767724,5.635945,ITS1-11,doi:10.1016/j.mimet.2009.11.004,From extensive clone libraries to comprehensive DNA arrays for the efficient and simultaneous detection and identification of orchid mycorrhizal fungi,"Bart Lievens, Stefan van Kerckhove, Annelies Just�, Bruno P.A. Cammue, Olivier Honnay, Hans Jacquemyn",,NA,NA,
Orchis,Orchis anthropophora,Cantharellales,tulasnellaceae,,,GQ907259,50.767724,5.635945,ITS1-11,doi:10.1016/j.mimet.2009.11.004,From extensive clone libraries to comprehensive DNA arrays for the efficient and simultaneous detection and identification of orchid mycorrhizal fungi,"Bart Lievens, Stefan van Kerckhove, Annelies Just�, Bruno P.A. Cammue, Olivier Honnay, Hans Jacquemyn",,NA,NA,
