Orc_genre	Orc_species	Fun_order	Fun_family	Fun_genus	Fun_species	GBAN	lat	lon	geneRegion	DOI	Title	Author	Origin	pubmed	number	Notes
Orchis	Orchis xbergonii	Cantharellales	Tulasnellaceae			EU583694	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900330	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis xbergonii	Cantharellales	Tulasnellaceae			EU583691	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900331	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis xbergonii	Cantharellales	Tulasnellaceae			EU583696	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900332	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis xbergonii	Cantharellales	Tulasnellaceae			EU583695	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900333	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis xbergonii	Hypocreales	Plectosphaerellaceae	Verticillium		EU583721	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900334	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880	2	
Limodorum	Limodorum abortivum	Russulales	Russulaceae	Russula		DQ061878	47.165918	0.23673	ITS1F,ITS4	doi: 10.1111/j.1365-294X.2005.02770.x	Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae	Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S	environmentalSample	16448415	3	
Limodorum	Limodorum abortivum	Russulales	Russulaceae	Russula		DQ061879	48.910867	2.924153	ITS1F,ITS4	doi: 10.1111/j.1365-294X.2005.02770.x	Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae	Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S	environmentalSample	16448415		
Limodorum	Limodorum abortivum	Russulales	Russulaceae	Russula		DQ061877	48.434033	2.273866	ITS1F,ITS4	doi: 10.1111/j.1365-294X.2005.02770.x	Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae	Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S	environmentalSample	16448415		
Limodorum	Limodorum abortivum	Russulales	Russulaceae	Russula		DQ061876	48.434033	2.273866	ITS1F,ITS4	doi: 10.1111/j.1365-294X.2005.02770.x	Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae	Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S	environmentalSample	16448415	2	
Limodorum	Limodorum abortivum	Russulales	Russulaceae	Russula		DQ061916	48.434033	2.273866	ITS1F,ITS4	doi: 10.1111/j.1365-294X.2005.02770.x	Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae	Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S	environmentalSample	16448415		
Limodorum	Limodorum abortivum	Russulales	Russulaceae	Russula		DQ061869	43.766933	3.546611	ITS1F,ITS4	doi: 10.1111/j.1365-294X.2005.02770.x	Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae	Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S	environmentalSample	16448415		
Limodorum	Limodorum abortivum	Russulales	Russulaceae	Russula		DQ061870	43.766933	3.546611	ITS1F,ITS4	doi: 10.1111/j.1365-294X.2005.02770.x	Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae	Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S	environmentalSample	16448415		
Limodorum	Limodorum abortivum	Russulales	Russulaceae	Russula		DQ061871	43.766933	3.546611	ITS1F,ITS4	doi: 10.1111/j.1365-294X.2005.02770.x	Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae	Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S	environmentalSample	16448415		
Limodorum	Limodorum abortivum	Russulales	Russulaceae	Russula		DQ061913	43.766933	3.546611	ITS1F,ITS4	doi: 10.1111/j.1365-294X.2005.02770.x	Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae	Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S	environmentalSample	16448415		
Limodorum	Limodorum abortivum	Russulales	Russulaceae	Russula		DQ061883 	43.608509	3.871755	ITS1F,ITS4	doi: 10.1111/j.1365-294X.2005.02770.x	Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae	Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S	environmentalSample	16448415	7	
