"N","P","K","pH","MaxPrec","MinTemp","family"
2.93024659156799,23.0457725524902,163.896530151367,5.79886484146118,268,-5.19999980926514,"tul"
2.55178117752075,20.5879440307617,218.561050415039,6.85369729995728,265,-5,"cer"
1.98569846153259,24.5476512908936,233.189376831055,5.94849967956543,259,-4.80000019073486,"tul"
2.87844824790955,15.3324213027954,139.116943359375,6.53854513168335,250,-5.40000009536743,"tul"
3.01020193099976,5.85000705718994,143.472518920898,5.75617265701294,277,-5.59999990463257,"tul"
2.98040962219238,25.1698513031006,129.110427856445,5.56269359588623,329,-5.69999980926514,"tul"
2.60014200210571,23.6425685882568,125.247848510742,5.47034311294556,383,-6.5,"tul"
2.86674046516418,21.1768054962158,143.518615722656,5.37324666976929,338,-5.80000019073486,"the"
2.86674046516418,21.1768054962158,143.518615722656,5.37324666976929,338,-5.80000019073486,"tul"
3.78143334388733,16.7723731994629,126.716957092285,5.1916069984436,311,-5.59999990463257,"tul"
3.78143334388733,16.7723731994629,126.716957092285,5.1916069984436,311,-5.59999990463257,"rus"
2.12649846076965,20.0931816101074,113.396629333496,4.90509653091431,345,-6.09999990463257,"tul"
3.01141905784607,19.8846988677979,120.042854309082,5.41998052597046,346,-6.09999990463257,"tul"
3.01141905784607,19.8846988677979,120.042854309082,5.41998052597046,346,-6.09999990463257,"rus"
1.29740810394287,21.7640266418457,116.584770202637,5.31439018249512,234,-3.29999995231628,"tul"
1.29740810394287,21.7640266418457,116.584770202637,5.31439018249512,234,-3.29999995231628,"cer"
3.93004465103149,40.8411407470703,205.276275634766,6.03077411651611,242,-0.5,"seb"
3.93004465103149,40.8411407470703,205.276275634766,6.03077411651611,242,-0.5,"cer"
3.93004465103149,40.8411407470703,205.276275634766,6.03077411651611,242,-0.5,"the"
3.93004465103149,40.8411407470703,205.276275634766,6.03077411651611,242,-0.5,"tul"
3.93004465103149,40.8411407470703,205.276275634766,6.03077411651611,242,-0.5,"ino"
3.38037204742432,21.0420722961426,82.2126083374023,5.66211557388306,211,-5.69999980926514,"tul"
2.78740763664246,17.8381576538086,308.353302001953,6.58590364456177,216,0.600000023841858,"tul"
2.78740763664246,17.8381576538086,308.353302001953,6.58590364456177,216,0.600000023841858,"cer"
2.49939918518066,18.2522258758545,274.504547119141,7.33768224716187,279,0.200000002980232,"tul"
2.39578604698181,52.9827117919922,180.63671875,6.47724771499634,230,-0.100000001490116,"tul"
1.91442704200745,52.0846252441406,230.228805541992,6.95857763290405,227,0,"tul"
1.74340867996216,16.4727344512939,176.2763671875,5.31610488891602,224,-0.300000011920929,"tul"
2.08797383308411,23.4363956451416,132.571304321289,5.44014453887939,220,-5.09999990463257,"tul"
2.19070100784302,38.435848236084,176.811981201172,6.36103248596191,239,-10.1000003814697,"tul"
2.85549879074097,37.3365707397461,262.206481933594,6.18757820129395,239,-0.400000005960464,"tul"
6.63986396789551,32.5128479003906,268.630645751953,6.46593856811523,233,0.200000002980232,"tul"
6.63986396789551,32.5128479003906,268.630645751953,6.46593856811523,233,0.200000002980232,"cer"
2.06238698959351,15.2473573684692,225.275375366211,7.41839790344238,305,3.40000009536743,"cer"
1.92940139770508,16.2418766021729,503.561431884766,7.23574876785278,242,2.5,"cer"
1.92940139770508,16.2418766021729,503.561431884766,7.23574876785278,242,2.5,"ino"
1.92940139770508,16.2418766021729,503.561431884766,7.23574876785278,242,2.5,"seb"
1.92940139770508,16.2418766021729,503.561431884766,7.23574876785278,242,2.5,"the"
2.7140634059906,14.5967779159546,253.998031616211,6.70916032791138,247,2.09999990463257,"rus"
2.7140634059906,14.5967779159546,253.998031616211,6.70916032791138,247,2.09999990463257,"cer"
2.7140634059906,14.5967779159546,253.998031616211,6.70916032791138,247,2.09999990463257,"the"
2.7140634059906,14.5967779159546,253.998031616211,6.70916032791138,247,2.09999990463257,"seb"
3.34031438827515,22.0431728363037,250.441833496094,6.72998762130737,244,2.20000004768372,"cer"
3.34031438827515,22.0431728363037,250.441833496094,6.72998762130737,244,2.20000004768372,"the"
3.34031438827515,22.0431728363037,250.441833496094,6.72998762130737,244,2.20000004768372,"rus"
3.34031438827515,22.0431728363037,250.441833496094,6.72998762130737,244,2.20000004768372,"ser"
3.34031438827515,22.0431728363037,250.441833496094,6.72998762130737,244,2.20000004768372,"tul"
3.34031438827515,22.0431728363037,250.441833496094,6.72998762130737,244,2.20000004768372,"ino"
2.01459693908691,10.1963005065918,226.531036376953,6.8271427154541,308,4.59999990463257,"the"
2.01459693908691,10.1963005065918,226.531036376953,6.8271427154541,308,4.59999990463257,"cer"
2.01459693908691,10.1963005065918,226.531036376953,6.8271427154541,308,4.59999990463257,"ino"
2.01459693908691,10.1963005065918,226.531036376953,6.8271427154541,308,4.59999990463257,"seb"
