"","Orc_species","lat","lon","population","cer","tul","ino","ser","seb","rus","the","N","P","K","pH","MinTemp","MaxPrec"
"24","Limodorum abortivum",44.474503,4.940662,"k",0,0,0,0,0,1,0,2.14145731925964,11.0885324478149,211.550415039062,6.75398635864258,-0.200000002980232,321
"25","Limodorum abortivum",45.068113,7.687244,"q",0,0,0,0,0,1,0,NA,NA,NA,NA,-0.699999988079071,326
"26","Limodorum abortivum",47.165918,0.23673,"h",0,0,0,0,0,1,0,NA,NA,NA,NA,1.89999997615814,201
"27","Limodorum abortivum",48.434033,2.273866,"g",0,0,0,0,0,1,0,1.61874842643738,49.3495330810547,252.167343139648,7.43557405471802,0.699999988079071,167
"28","Limodorum abortivum",48.910867,2.924153,"i",0,0,0,0,0,1,0,1.67780363559723,51.9751243591309,217.28044128418,6.80349731445312,0.300000011920929,177
"29","Neottia cordata",45.876944,6.403333,"bf",0,1,0,0,0,1,0,4.25178337097168,17.6325912475586,108.671875,6.09946060180664,-5.40000009536743,440
"30","Neottia cordata",48.970833,13.564722,"au",0,1,0,0,0,0,0,2.75191020965576,17.9160690307617,134.229263305664,5.75323867797852,-6.5,405
"31","Neottia cordata",48.984722,13.513333,"aw",0,1,0,0,0,0,0,2.15506362915039,15.7781190872192,145.036499023438,5.37199068069458,-6.59999990463257,396
"32","Neottia cordata",62.855,9.255833,"bg",1,0,0,0,0,0,0,NA,NA,NA,NA,-7.30000019073486,371
"33","Neottia ovata ",42.808611,43.378056,"ar",0,1,0,0,0,0,0,NA,NA,NA,NA,-10,376
"34","Neottia ovata ",45.188056,0.722222,"as",0,1,0,0,0,0,0,1.93882882595062,24.5135402679443,329.496429443359,7.36386585235596,2.5,285
"35","Neottia ovata ",48.35,2.35,"bh",0,0,0,0,0,0,1,1.81256413459778,46.6320838928223,360.54345703125,7.41684341430664,0.5,168
"36","Neottia ovata ",48.821667,17.550556,"ba",0,1,0,0,0,0,0,2.8566255569458,2.99504065513611,108.426940917969,5.12359857559204,-5.5,277
"37","Neottia ovata ",48.829167,17.539444,"bc",1,1,0,0,0,0,0,2.80908942222595,18.6065483093262,186.055892944336,5.54621410369873,-5.19999980926514,268
"38","Neottia ovata ",48.830278,17.54,"az",0,1,0,0,0,0,0,2.93024659156799,23.0457725524902,163.896530151367,5.79886484146118,-5.19999980926514,268
"39","Neottia ovata ",48.873056,17.569722,"bi",1,0,0,0,0,0,0,2.55178117752075,20.5879440307617,218.561050415039,6.85369729995728,-5,265
"40","Neottia ovata ",48.889167,17.531944,"be",0,1,0,0,0,0,0,1.98569846153259,24.5476512908936,233.189376831055,5.94849967956543,-4.80000019073486,259
"41","Neottia ovata ",48.893333,18.229722,"ap",0,1,0,0,0,0,0,2.87844824790955,15.3324213027954,139.116943359375,6.53854513168335,-5.40000009536743,250
"42","Neottia ovata ",48.991944,17.906667,"ao",0,1,0,0,0,0,0,3.01020193099976,5.85000705718994,143.472518920898,5.75617265701294,-5.59999990463257,277
"43","Neottia ovata ",49.061111,13.878056,"aq",0,1,0,0,0,0,0,2.98040962219238,25.1698513031006,129.110427856445,5.56269359588623,-5.69999980926514,329
"44","Neottia ovata ",49.078889,13.557222,"av",0,1,0,0,0,0,0,2.60014200210571,23.6425685882568,125.247848510742,5.47034311294556,-6.5,383
"45","Neottia ovata ",49.128889,13.658889,"an",0,1,0,0,0,0,1,2.86674046516418,21.1768054962158,143.518615722656,5.37324666976929,-5.80000019073486,338
"46","Neottia ovata ",49.133611,13.503056,"ax",0,1,0,0,0,1,0,3.78143334388733,16.7723731994629,126.716957092285,5.1916069984436,-5.59999990463257,311
"47","Neottia ovata ",49.154722,13.332778,"bb",0,1,0,0,0,0,0,2.12649846076965,20.0931816101074,113.396629333496,4.90509653091431,-6.09999990463257,345
"48","Neottia ovata ",49.211944,13.341944,"ay",0,1,0,0,0,1,0,3.01141905784607,19.8846988677979,120.042854309082,5.41998052597046,-6.09999990463257,346
"49","Neottia ovata ",50.463889,14.610556,"at",1,1,0,0,0,0,0,1.29740810394287,21.7640266418457,116.584770202637,5.31439018249512,-3.29999995231628,234
"50","Neottia ovata ",50.757651,5.8295,"bj",1,1,1,0,1,0,1,3.93004465103149,40.8411407470703,205.276275634766,6.03077411651611,-0.5,242
"51","Neottia ovata ",58.238611,13.734444,"bd",0,1,0,0,0,0,0,3.38037204742432,21.0420722961426,82.2126083374023,5.66211557388306,-5.69999980926514,211
"52","Ophrys bertolonii",42.941653,11.866438,"a",1,1,0,0,0,0,0,2.78740763664246,17.8381576538086,308.353302001953,6.58590364456177,0.600000023841858,216
"53","Orchis anthropophora",43.91277778,3.51361111,"ab",0,1,0,0,0,0,0,2.49939918518066,18.2522258758545,274.504547119141,7.33768224716187,0.200000002980232,279
"54","Orchis anthropophora",50.767724,5.635945,"ae",0,1,0,0,0,0,0,2.39578604698181,52.9827117919922,180.63671875,6.47724771499634,-0.100000001490116,230
"55","Orchis anthropophora",50.794671,5.665723,"ad",0,1,0,0,0,0,0,1.91442704200745,52.0846252441406,230.228805541992,6.95857763290405,0,227
"56","Orchis militaris",50.794671,5.665723,"af",0,1,0,0,0,0,0,1.91442704200745,52.0846252441406,230.228805541992,6.95857763290405,0,227
"57","Orchis militaris",50.828297,5.87636,"ag",0,1,0,0,0,0,0,1.74340867996216,16.4727344512939,176.2763671875,5.31610488891602,-0.300000011920929,224
"58","Orchis militaris",58.978639,22.49325,"x",0,1,0,0,0,0,0,2.08797383308411,23.4363956451416,132.571304321289,5.44014453887939,-5.09999990463257,220
"59","Orchis militaris",59.391528,27.230222,"y",0,1,0,0,0,0,0,NA,NA,NA,NA,-10.1000003814697,239
"60","Orchis purpurea",50.73955,5.823108,"ai",0,1,0,0,0,0,0,2.85549879074097,37.3365707397461,262.206481933594,6.18757820129395,-0.400000005960464,239
"61","Orchis purpurea",50.794671,5.665723,"ah",0,1,0,0,0,0,0,1.91442704200745,52.0846252441406,230.228805541992,6.95857763290405,0,227
"62","Orchis simia",43.91277778,3.51361111,"ac",0,1,0,0,0,0,0,2.49939918518066,18.2522258758545,274.504547119141,7.33768224716187,0.200000002980232,279
"63","Orchis tridentata",42.929914,11.875801,"aj",1,1,0,0,0,0,0,6.63986396789551,32.5128479003906,268.630645751953,6.46593856811523,0.200000002980232,233
"64","Orchis tridentata",43.507604,10.357247,"ak",1,0,0,0,0,0,0,2.06238698959351,15.2473573684692,225.275375366211,7.41839790344238,3.40000009536743,305
"65","Orchis xbergonii",43.91277778,3.51361111,"aa",0,1,0,0,0,0,0,2.49939918518066,18.2522258758545,274.504547119141,7.33768224716187,0.200000002980232,279
"66","Spiranthes spiralis",37.78321,14.57238,"co",1,0,1,0,1,0,1,1.92940139770508,16.2418766021729,503.561431884766,7.23574876785278,2.5,242
"67","Spiranthes spiralis",37.81393,14.41387,"ca",1,0,0,0,1,1,1,2.7140634059906,14.5967779159546,253.998031616211,6.70916032791138,2.09999990463257,247
"68","Spiranthes spiralis",37.89712,14.37238,"br",1,1,1,1,0,1,1,3.34031438827515,22.0431728363037,250.441833496094,6.72998762130737,2.20000004768372,244
"69","Spiranthes spiralis",38.9892,26.31498,"bw",1,0,1,0,1,0,1,NA,NA,NA,NA,4.59999990463257,308
"70","Spiranthes spiralis",39.00381,26.32637,"bu",1,1,0,0,1,0,0,1.9967668056488,10.2763843536377,244.397994995117,6.80684947967529,3.5,322
"71","Spiranthes spiralis",39.02045,26.32708,"ce",1,1,0,0,1,0,0,1.81798660755157,7.77989816665649,259.275299072266,7.03911924362183,3.29999995231628,323
"72","Spiranthes spiralis",39.02483,26.32138,"bz",1,0,1,1,1,1,1,2.00818753242493,9.49820327758789,185.959777832031,7.20851993560791,3.40000009536743,321
"73","Spiranthes spiralis",39.06083,26.55076,"bs",1,0,0,0,1,0,1,2.21955847740173,10.3599548339844,329.485168457031,6.8990683555603,4,333
"74","Spiranthes spiralis",39.09555,26.36539,"ch",1,0,0,1,1,0,0,2.09459543228149,9.22160243988037,299.647521972656,7.01736879348755,3.29999995231628,326
"75","Spiranthes spiralis",39.10386,26.39202,"cw",1,0,0,1,0,0,0,2.38953971862793,8.96396350860596,248.695617675781,6.68322277069092,3.90000009536743,319
"76","Spiranthes spiralis",39.10837,26.37353,"cs",1,0,0,1,1,0,0,1.43651032447815,7.23655939102173,433.659729003906,6.90751981735229,3.90000009536743,318
"77","Spiranthes spiralis",40.47195,23.18327,"cn",1,0,1,0,0,0,0,1.2369636297226,12.8769645690918,483.875244140625,7.56800508499146,0.800000011920929,153
"78","Spiranthes spiralis",40.50274,14.1054,"cd",1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA
"79","Spiranthes spiralis",40.5927,23.09452,"cu",1,0,0,0,1,0,0,1.78323543071747,41.9120292663574,193.049423217773,6.72871541976929,-1.20000004768372,151
"80","Spiranthes spiralis",40.6353,22.97012,"cq",1,0,0,0,1,0,1,1.3111172914505,16.7674751281738,256.008148193359,7.29584932327271,0.400000005960464,146
"81","Spiranthes spiralis",40.8217,14.39482,"cv",1,0,0,1,0,1,1,2.58922505378723,3.85526943206787,446.337585449219,6.46283149719238,2.90000009536743,345
"82","Spiranthes spiralis",40.82173,14.39474,"by",1,1,1,1,0,1,1,2.58922505378723,3.85526943206787,446.337585449219,6.46283149719238,2.90000009536743,345
"83","Spiranthes spiralis",40.8225,14.38295,"cm",1,0,0,1,0,0,0,3.17977261543274,4.07492303848267,305.924865722656,7.02010536193848,3.70000004768372,373
"84","Spiranthes spiralis",40.82338,14.39321,"cj",1,0,1,1,1,1,1,1.33874714374542,8.77280712127686,270.508178710938,6.31015682220459,2.90000009536743,345
"85","Spiranthes spiralis",40.82347,14.39286,"cr",1,0,1,1,1,0,1,1.33874714374542,8.77280712127686,270.508178710938,6.31015682220459,2.90000009536743,345
"86","Spiranthes spiralis",40.82348,14.39381,"bx",1,0,1,0,1,1,1,1.33874714374542,8.77280712127686,270.508178710938,6.31015682220459,2.90000009536743,345
"87","Spiranthes spiralis",40.82687,14.40054,"cx",1,0,0,0,0,0,1,1.70782423019409,0.949458301067352,400.253295898438,6.24247884750366,2.29999995231628,322
"88","Spiranthes spiralis",41.30194,14.00648,"ct",1,0,0,0,1,1,0,1.91090536117554,11.6671009063721,439.664764404297,6.24679946899414,1.39999997615814,310
"89","Spiranthes spiralis",41.30991,14.02031,"ck",1,0,0,1,0,1,1,2.1840512752533,11.2773408889771,468.749389648438,6.17968320846558,1.89999997615814,325
"90","Spiranthes spiralis",43.9177,3.50425,"bv",1,0,0,1,0,0,0,3.60155940055847,5.78083992004395,226.889785766602,6.66418600082397,0,290
"91","Spiranthes spiralis",43.92146,3.473415,"cb",1,0,1,0,0,0,1,5.14064645767212,23.400671005249,262.247619628906,7.52115964889526,0,289
"92","Spiranthes spiralis",43.93131,3.510012,"cp",1,0,0,0,0,0,1,3.8838038444519,15.7681379318237,242.799621582031,7.46476268768311,0.100000001490116,283
"93","Spiranthes spiralis",43.93497,3.518619,"bo",1,0,0,0,0,0,1,4.55414247512817,21.7542018890381,235.691223144531,7.41829633712769,-0.200000002980232,299
"94","Spiranthes spiralis",43.94129,3.525601,"bp",1,0,0,0,0,0,1,2.06171250343323,19.3918380737305,216.739898681641,7.42171907424927,0,289
"95","Spiranthes spiralis",43.94703,3.528905,"ci",1,1,0,0,0,0,0,1.88755297660828,8.48822498321533,230.08349609375,6.94225025177002,-0.300000011920929,307
"96","Spiranthes spiralis",48.79631,-1.56969,"bn",1,0,1,0,1,0,1,2.42912483215332,54.518253326416,250.111434936523,6.51126289367676,NA,NA
"97","Spiranthes spiralis",52.20016,-6.63079,"cl",1,0,0,0,0,0,0,NA,NA,NA,NA,3.59999990463257,316
"98","Spiranthes spiralis",52.21013,-6.6253,"cf",1,0,0,0,0,0,1,3.2036075592041,46.5089569091797,192.937911987305,6.19409322738647,3.59999990463257,317
"99","Spiranthes spiralis",54.24538,-8.51075,"cc",1,0,0,0,0,0,0,6.03941297531128,43.6399536132812,194.575805664062,5.89318370819092,2.20000004768372,436
"100","Spiranthes spiralis",54.26178,-8.61585,"bq",1,0,0,1,1,1,0,NA,NA,NA,NA,2.59999990463257,403
"101","Spiranthes spiralis",54.26209,-8.61475,"bt",1,0,0,0,0,0,0,NA,NA,NA,NA,2.59999990463257,403
"102","Spiranthes spiralis",54.32158,-8.57318,"cg",1,0,0,0,0,0,0,NA,NA,NA,NA,2.70000004768372,407
